step,loss_to
1803,0.046610
1804,0.046590
1805,0.046570
1806,0.046549
1807,0.046529
1808,0.046509
1809,0.046489
1810,0.046469
1811,0.046449
1812,0.046428
1813,0.046408
1814,0.046388
1815,0.046368
1816,0.046348
1817,0.046328
1818,0.046308
1819,0.046288
1820,0.046267
1821,0.046247
1822,0.046227
1823,0.046207
1824,0.046187
1825,0.046167
1826,0.046147
1827,0.046127
1828,0.046107
1829,0.046087
1830,0.046067
1831,0.046047
1832,0.046027
1833,0.046007
1834,0.045987
1835,0.045967
1836,0.045947
1837,0.045927
1838,0.045907
1839,0.045887
1840,0.045867
1841,0.045847
1842,0.045827
1843,0.045807
1844,0.045787
1845,0.045767
1846,0.045747
1847,0.045727
1848,0.045707
1849,0.045687
1850,0.045667
1851,0.045647
1852,0.045627
1853,0.045607
1854,0.045587
1855,0.045567
1856,0.045547
1857,0.045527
1858,0.045508
1859,0.045488
1860,0.045468
1861,0.045448
1862,0.045428
1863,0.045408
1864,0.045388
1865,0.045368
1866,0.045349
1867,0.045329
1868,0.045309
1869,0.045289
